species,count,n50_05,n50_20,n50_50,n50_80,n50_95,contig_count_05,contig_count_20,contig_count_50,contig_count_80,contig_count_95,l50_05,l50_20,l50_50,l50_80,l50_95,length_05,length_20,length_50,length_80,length_95
Candidatus Bathyarchaeota archaeon,1,14564.00,14564.00,14564.00,14564.00,14564.00,227.00,227.00,227.00,227.00,227.00,45.00,45.00,45.00,45.00,45.00,2076091.00,2076091.00,2076091.00,2076091.00,2076091.00
Candidatus Marinimicrobia bacterium,6,12067.50,14586.00,52346.50,329967.00,341127.00,12.50,17.00,84.00,156.00,213.00,3.25,4.00,18.50,37.00,46.00,1776514.25,1901114.00,2151021.00,3020193.00,3119972.25
Citrobacter freundii,129,32037.60,76037.00,141526.00,384002.80,4687530.00,9.80,64.60,146.00,240.20,738.80,1.00,5.00,12.00,23.40,45.60,4899604.00,5076505.20,5302951.00,5487463.40,5670285.20
Clostridiaceae bacterium,7,27045.50,37900.40,81841.00,87307.40,110097.10,172.90,247.60,340.00,458.20,1367.60,14.20,17.60,20.00,50.80,66.20,4322252.40,4393029.20,4796283.00,5304248.00,11300269.10
Clostridiales bacterium,4,12141.35,14683.40,22590.00,85999.40,150982.10,140.20,143.80,188.00,264.20,303.80,8.20,11.80,20.50,32.40,39.60,1409053.05,1575898.20,1732865.50,2628682.40,3626733.35
Clostridioides difficile,783,12503.70,40372.00,107247.00,217246.20,427603.10,40.00,61.40,118.00,256.00,673.50,4.00,7.00,13.00,33.00,93.00,3973295.80,4047211.00,4122528.00,4238069.60,4352535.00
Clostridium beijerinckii,27,40168.80,47062.00,89920.00,157567.60,169008.60,75.90,95.00,162.00,294.40,382.50,10.30,14.00,20.00,36.60,42.70,5694331.10,5877484.00,6003270.00,6036218.20,6253933.10
Clostridium botulinum,171,9241.00,36032.00,142985.00,529942.00,2742699.50,13.00,34.00,81.00,237.00,702.50,1.00,3.00,9.00,32.00,124.00,3152228.50,3829425.00,3965132.00,4149224.00,4312730.00
Clostridium perfringens,121,26858.00,53535.00,129043.00,245313.00,1012488.00,24.00,47.00,78.00,128.00,234.00,2.00,4.00,9.00,17.00,34.00,2778860.00,3187150.00,3384569.00,3604770.00,3660641.00
Clostridium sporogenes,95,33489.50,56594.80,136601.00,312637.00,412671.60,34.40,56.00,94.00,154.00,262.90,3.00,5.00,11.00,20.00,36.60,3894314.20,4019455.40,4102703.00,4202856.00,4316823.30
Corynebacterium diphtheriae,166,97330.25,107635.00,128766.00,179152.00,307708.25,25.00,34.00,45.00,64.00,102.75,4.00,5.00,6.00,8.00,10.00,2364230.25,2395664.00,2445545.00,2476729.00,2511030.50
Cronobacter sakazakii,230,35150.80,78176.80,238621.00,513728.80,681569.15,24.00,33.00,67.00,165.20,442.85,2.00,4.00,6.00,18.00,40.00,4318868.15,4399966.00,4482494.00,4564794.20,4677204.90
Cutibacterium acnes,165,64731.60,324530.60,637138.00,733380.20,1137589.00,5.00,6.00,9.00,15.20,75.80,2.00,2.00,2.00,3.00,12.80,2464394.00,2479017.00,2524171.00,2543589.20,2556655.00
Enterobacter asburiae,1,72844.00,72844.00,72844.00,72844.00,72844.00,706.00,706.00,706.00,706.00,706.00,20.00,20.00,20.00,20.00,20.00,5814655.00,5814655.00,5814655.00,5814655.00,5814655.00
Enterobacter cloacae,104,47912.35,84522.20,151626.50,353883.20,686548.60,21.15,42.80,104.50,201.00,724.80,2.15,4.60,11.00,19.00,32.85,4548751.90,4809051.80,5028866.50,5297780.20,5531196.55
Enterobacter hormaechei,578,51080.80,114907.00,182574.50,301189.40,490551.35,33.00,65.00,93.00,173.00,301.45,4.00,6.00,9.00,14.00,31.15,4631372.85,4785100.00,4971423.00,5162206.60,5301465.80
Enterococcus faecalis,912,37763.50,66312.60,146517.50,270230.00,434903.80,17.00,40.00,73.00,118.00,201.35,2.00,4.00,7.00,14.00,25.45,2720945.50,2836787.60,2946621.50,3052855.80,3203036.15
Enterococcus faecium,933,17355.00,30042.20,42379.00,79977.20,266081.20,28.00,100.00,190.00,270.60,435.00,4.00,12.00,21.00,29.00,52.00,2483963.40,2598496.20,2855121.00,3045037.20,3149191.40
Enterococcus hirae,99,61037.90,180722.60,234365.00,295411.00,734252.20,14.10,20.00,26.00,60.80,138.20,2.00,4.00,5.00,6.00,17.00,2719711.30,2837914.60,2841576.00,2927354.80,3150063.20
Escherichia albertii,36,27126.00,45764.00,150285.50,257036.00,361351.25,51.50,92.00,154.00,260.00,399.00,5.00,7.00,10.00,33.00,53.25,4451423.00,4619982.00,4761787.00,4915554.00,5044322.25
Escherichia coli,12285,43297.20,83847.40,129649.00,188559.60,288302.40,64.00,107.00,166.00,275.00,461.00,6.00,9.00,13.00,19.00,35.00,4676805.40,4884305.20,5105335.00,5313450.80,5494480.60
Flavobacteriaceae bacterium,1,297365.00,297365.00,297365.00,297365.00,297365.00,47.00,47.00,47.00,47.00,47.00,6.00,6.00,6.00,6.00,6.00,4689578.00,4689578.00,4689578.00,4689578.00,4689578.00
Flavobacterium psychrophilum,29,38990.60,43774.40,57763.00,207557.00,677195.60,15.00,38.60,138.00,168.80,357.80,2.40,5.20,14.00,18.00,21.60,2519927.00,2695924.40,2730491.00,2882324.20,2903202.20
Francisella tularensis,541,22825.00,26622.00,27032.00,27630.00,42332.00,58.00,95.00,100.00,108.00,138.00,13.00,22.00,23.00,24.00,27.00,1781739.00,1788420.00,1789279.00,1801994.00,1858227.00
Haemophilus influenzae,490,25608.40,61498.60,116198.00,216972.20,403512.90,18.00,27.00,54.00,83.00,165.55,2.00,3.00,5.00,10.00,23.00,1775425.60,1798867.20,1840531.00,1902000.60,1973875.15
Helicobacter pylori,1402,32660.90,63931.00,100082.00,163588.60,393461.00,9.00,26.00,38.00,58.00,125.95,2.00,3.00,5.00,8.00,17.00,1552752.40,1584907.40,1620740.50,1656300.40,1692773.45
Klebsiella aerogenes,162,46154.50,142919.20,210200.50,432151.00,566820.15,41.05,50.00,68.50,129.20,255.55,4.00,5.00,8.00,13.80,36.95,5050157.35,5125622.00,5242927.50,5391038.80,5547376.05
Klebsiella pneumoniae,3880,55754.30,129253.00,177647.00,259495.40,374062.00,56.00,82.00,118.00,185.00,458.05,5.00,7.00,11.00,14.00,31.00,5328626.75,5460139.20,5598225.00,5745065.80,5918801.20
Klebsiella quasipneumoniae,184,77147.40,144987.20,263981.00,502347.80,773744.55,23.00,45.00,104.00,180.40,438.10,2.00,4.00,8.00,12.00,23.00,5089126.05,5206453.60,5492684.00,5656440.60,5926572.45
Klebsiella variicola,143,124617.80,173147.00,291413.00,434597.80,703933.60,32.00,43.00,66.00,132.80,207.40,3.00,4.00,7.00,11.00,15.00,5402540.00,5487847.20,5639266.00,5821554.80,6047688.30
Lachnospiraceae bacterium,28,11767.45,17470.00,45836.50,83970.80,158694.50,76.55,220.60,352.50,529.00,739.55,7.70,15.40,31.50,51.80,99.35,2312057.00,3312533.80,4181638.00,5116658.00,6113873.65
Lacticaseibacillus paracasei,111,6442.50,28256.00,56109.00,114822.00,331758.00,38.00,74.00,141.00,270.00,826.00,3.00,9.00,16.00,27.00,123.00,2689430.50,2815036.00,2954364.00,3071147.00,3155110.00
Lactiplantibacillus plantarum,196,48434.25,84892.00,153173.00,253112.00,468965.25,25.00,42.00,68.50,110.00,190.50,3.00,5.00,7.00,12.00,22.00,3098896.25,3185059.00,3243274.00,3341931.00,3464077.00
Lactobacillus rhamnosus,109,15800.80,45506.00,93612.00,176681.00,399314.00,24.80,45.00,78.00,155.20,347.60,3.00,6.00,10.00,19.00,48.60,2828287.60,2890000.00,2945494.00,3010210.60,3077991.40
Lactococcus lactis,122,17998.10,41409.60,84202.00,163266.80,475440.90,25.00,53.20,108.00,197.00,366.20,3.00,5.00,10.00,17.00,41.00,2331123.60,2412447.80,2499230.00,2631112.40,2724992.00
Legionella pneumophila,252,62773.95,129926.60,208891.00,476380.80,476485.30,21.00,30.00,47.00,83.00,120.25,3.00,3.00,6.00,9.00,18.00,3275866.40,3366843.80,3400389.00,3576354.80,3679514.20
Leptospira interrogans,234,21010.45,32250.60,44605.50,109480.00,238545.85,43.00,99.60,211.00,334.40,547.25,7.00,14.00,31.50,47.00,66.50,4453150.05,4596411.40,4680015.50,4868443.40,5015280.00
Listeria innocua,30,375131.15,449863.60,522186.50,560725.00,1441034.65,9.45,11.80,13.50,25.20,40.10,1.00,2.00,2.00,3.00,3.55,2798065.45,2816973.00,2862633.50,2966458.00,3111476.70
Listeria monocytogenes,2144,142261.85,297362.80,478121.00,546172.80,1461919.65,10.00,14.00,20.00,36.00,83.00,1.00,2.00,3.00,4.00,7.00,2861443.65,2904912.00,2969993.00,3051700.00,3111649.80
Listeria seeligeri,29,118721.60,188401.80,311171.00,493104.40,531500.40,13.00,15.00,23.00,42.20,70.40,2.00,2.00,4.00,6.00,8.00,2798733.40,2808433.00,2868413.00,2893838.60,2928507.60
