Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Bacillus amyloliquefaciens	5.54	1.633	0.602	6.596	2.23	0.464
Bacillus anthracis	5.4985	1.778	0.778	6.7355	2.167	0.351
Bacillus aryabhattai	5.5675	1.857	0.699	6.711	1.85	0.378
Bacillus atrophaeus	5.312	1.505	0.778	6.616	1.623	0.431
Bacillus cereus	5.126	2.117	1.079	6.75	1.726	0.351
Bacillus circulans	5.05	2.086	1.146	6.707	2.007	0.355
Bacillus coagulans	4.694	2.23	1.38	6.535	2.0	0.464
Bacillus cytotoxicus	5.371	1.724	0.602	6.613	1.699	0.356
Bacillus halotolerans	5.595	1.716	0.699	6.613	1.716	0.437
Bacillus licheniformis	5.337	1.839	0.778	6.629	2.0084999999999997	0.4595
Bacillus megaterium	5.688	1.8225	0.6505	6.736000000000001	2.0	0.378
Bacillus mycoides	5.302	2.053	0.903	6.754	1.968	0.352
Bacillus paralicheniformis	5.593999999999999	1.591	0.699	6.642	1.9769999999999999	0.459
Bacillus pumilus	5.519	1.7595	0.699	6.563	2.0	0.412
Bacillus safensis	5.6845	1.6735	0.477	6.571	2.0635	0.416
Bacillus stratosphericus	5.293	1.756	0.778	6.568	2.167	0.413
Bacillus subtilis	5.801	1.556	0.477	6.612	2.0	0.437
Bacillus thuringiensis	5.189	2.332	1.041	6.783	2.079	0.35
Bacillus toyonensis	5.305	1.886	0.903	6.765	1.863	0.35
Bacillus velezensis	5.674	1.556	0.477	6.594	2.0	0.464
Bacillus wiedmannii	5.315	1.857	0.845	6.745	2.057	0.352
Bacteriodetes bacterium	4.192	2.097	1.491	6.245	1.0	0.393
Bacteroidaceae bacterium	4.387	2.375	1.556	6.439	1.447	0.45
Bacteroidales bacterium	4.2170000000000005	2.339	1.653	6.369	1.3170000000000002	0.4765
Bacteroides acidifaciens	4.6899999999999995	2.3625	1.475	6.702	2.301	0.431
Bacteroides caccae	5.2915	1.886	0.954	6.733	2.0135	0.425
Bacteroides finegoldii	5.0184999999999995	2.112	1.161	6.7095	2.2895000000000003	0.429
Bacteroides fragilis	5.2865	1.9264999999999999	0.954	6.721	1.954	0.433
Bacteroides ovatus	5.315	1.9415	0.9974999999999999	6.827	2.0940000000000003	0.418
Bacteroides salyersiae	5.282	1.806	1.0	6.766	1.72	0.417
Bacteroides sp.	4.855	1.653	1.0	6.321	1.636	0.51
Bacteroides stercoris	4.9405	2.035	1.176	6.615500000000001	2.01	0.46
Bacteroides thetaiotaomicron	5.259	1.982	1.079	6.81	1.966	0.427
Bacteroides uniformis	4.9455	2.117	1.23	6.6975	1.729	0.463
Bacteroides xylanisolvens	4.75	2.373	1.519	6.804	1.795	0.424
Bacteroidetes bacterium	3.971	2.56	1.924	6.416	1.097	0.43
Bacteroidia bacterium	3.8514999999999997	2.518	1.8399999999999999	6.3575	1.0	0.4245
Balneola sp.	5.3165	1.423	0.6505	6.538	-1.0	0.3895
Balneolaceae bacterium	3.974	2.549	1.911	6.4544999999999995	1.354	0.4405
