Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Escherichia albertii	5.014	2.201	1.176	6.677	1.908	0.49700000000000005	
Euryarchaeota archaeon	4.433	1.82	1.23	6.147	-1.0	0.469	
Firmicutes bacterium	4.215	2.27	1.568	6.315	1.808	0.503	
Flavobacteriaceae bacterium	4.3835	1.919	1.301	6.25	-1.0	0.3345	
Flavobacteriales bacterium	4.418	1.792	1.204	6.195	-1.0	0.331	
Flavobacterium psychrophilum	4.974	2.045	1.041	6.436	1.903	0.324	
Francisella tularensis	4.431	2.0	1.362	6.253	2.097	0.322	
Fusarium oxysporum	5.01	3.633	2.1565	7.7085	1.6855	0.478	
Gammaproteobacteria bacterium	4.16	2.338	1.672	6.3475	0.905	0.5175000000000001	
Gemmatimonadetes bacterium	4.134499999999999	2.5025000000000004	1.799	6.467	1.0	0.663	
Haemophilus influenzae	5.098	1.699	0.699	6.266	1.885	0.38	
Klebsiella aerogenes	5.337	1.826	0.903	6.719	1.96	0.55	
Klebsiella pneumoniae	6.736	0.301	0.0	6.744	2.0	0.573	
Klebsiella quasipneumoniae	5.494	1.929	0.778	6.737	2.0	0.578	
Klebsiella variicola	5.503	1.806	0.778	6.751	2.0	0.573	
Lachnospiraceae bacterium	4.425000000000001	2.334	1.505	6.435499999999999	1.301	0.445	
Lacticaseibacillus paracasei	4.7675	2.1155	1.161	6.4704999999999995	1.9315	0.46299999999999997	
Lactiplantibacillus plantarum	5.182	1.833	0.845	6.514	1.531	0.444	
Lactobacillus casei	5.236	1.623	0.845	6.479	1.23	0.46399999999999997	
Lactobacillus rhamnosus	4.958	1.9215	1.041	6.469	1.37	0.467	
Lactococcus lactis	4.922	2.025	1.0	6.401	1.699	0.35100000000000003	
Legionella pneumophila	5.323	1.591	0.778	6.537	2.0	0.38299999999999995	
Leptospira interrogans	4.638	2.336	1.519	6.67	1.762	0.35	
Listeria innocua	5.595	1.342	0.477	6.466	2.104	0.373	
Listeria seeligeri	5.3485	1.498	0.699	6.458	1.9835	0.37200000000000005	
Listeria welshimeri	5.585	1.342	0.477	6.446	2.063	0.36200000000000004	
Moraxella catarrhalis	5.246	1.602	0.602	6.285	1.602	0.41600000000000004	
Mycobacterium avium	4.711	2.51	1.498	6.714	2.176	0.69	
Mycobacteroides abscessus	5.7655	1.342	0.477	6.703	2.0	0.6409999999999999	
Mycoplasma bovis	4.445	1.851	1.079	5.97	2.545	0.294	
Neisseria gonorrhoeae	4.677	2.1155	1.146	6.331	2.0	0.524	
Oenococcus oeni	4.504	2.369	1.255	6.278	1.738	0.379	
Pasteurella multocida	5.368	1.491	0.602	6.369	2.528	0.40299999999999997	
Pediococcus acidilactici	5.283	1.462	0.602	6.303	1.716	0.42100000000000004	
Planctomycetaceae bacterium	4.151	2.544	1.944	6.58	0.856	0.6	
