Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Ochrobactrum intermedium	5.63	1.802	0.602	6.6795	1.817	0.5770000000000001	
Odoribacter splanchnicus	4.9565	2.107	1.2275	6.6615	1.862	0.44	
Oligoflexia bacterium	3.873	2.667	2.097	6.413	0.0	0.47100000000000003	
Opitutaceae bacterium	3.989	2.512	1.903	6.454	1.0	0.628	
Opitutae bacterium	4.354	2.086	1.462	6.377	0.836	0.54	
Opitutales bacterium	4.253	2.305	1.653	6.382	1.088	0.585	
Orientia tsutsugamushi	4.2585	2.149	1.3889999999999998	6.3035	1.6755	0.304	
Oryza rufipogon	4.325	2.193	0.845	5.6395	2.0665	0.433	
Oryza sativa	4.4830000000000005	1.9825	0.699	5.619	1.9264999999999999	0.435	
Oscillospiraceae bacterium	4.478	2.004	1.362	6.277	1.234	0.605	
PVC group bacterium	3.893	2.5745	2.0164999999999997	6.447	1.0314999999999999	0.5805	
Paenibacillus odorifer	5.2745	2.0389999999999997	1.079	6.843999999999999	1.919	0.441	
Paenibacillus polymyxa	5.567	1.9369999999999998	0.699	6.764	2.0614999999999997	0.455	
Paeniclostridium sordellii	6.23	1.477	0.0	6.545	2.34	0.273	
Pandoraea apista	5.0265	2.073	1.2425	6.750500000000001	1.041	0.627	
Pantoea agglomerans	5.519	1.778	0.699	6.687	2.0	0.551	
Pantoea ananatis	5.637	1.763	0.602	6.687	1.845	0.535	
Pantoea brenneri	5.112	2.025	1.041	6.701	2.6624999999999996	0.5589999999999999	
Pantoea dispersa	5.3675	1.801	0.845	6.689500000000001	1.866	0.5765	
Pantoea stewartii	5.429	1.748	0.845	6.679	1.895	0.537	
Parabacteroides distasonis	5.359	1.875	0.845	6.709	2.0	0.452	
Parabacteroides goldsteinii	5.103	2.111	1.23	6.83	1.7970000000000002	0.434	
Parabacteroides merdae	5.199	1.823	1.0	6.664	2.0	0.45349999999999996	
Parcubacteria group bacterium	4.21	1.8215	1.2029999999999998	5.858499999999999	1.087	0.368	
Patescibacteria group bacterium	4.3345	1.854	1.073	5.896	0.742	0.447	
Pectobacterium brasiliense	5.607	1.7965	0.602	6.6835	2.0	0.5205	
Pectobacterium carotovorum	5.201	1.869	0.954	6.683	2.0	0.519	
Pectobacterium polaris	5.309	1.7469999999999999	0.9285	6.686	1.875	0.518	
Pediococcus pentosaceus	5.481	1.431	0.477	6.263	1.778	0.37200000000000005	
Pedobacter sp.	4.134	2.53	1.74	6.446	1.301	0.381	
Pedosphaera sp.	4.311	2.182	1.633	6.462	1.0	0.594	
Pelagibacteraceae bacterium	4.4155	1.6225	1.0	5.968500000000001	-1.0	0.298	
Pelagibacterales bacterium	4.486000000000001	1.461	0.903	5.9205000000000005	0.969	0.2945	
Peptococcaceae bacterium	4.349	2.352	1.556	6.39	1.301	0.461	
Phascolarctobacterium faecium	5.302	1.38	0.477	6.388	2.503	0.436	
Phocaeicola dorei	5.332	1.833	0.954	6.739	1.97	0.419	
Phocaeicola vulgatus	5.105	1.959	1.114	6.719	2.117	0.424	
Photobacterium angustum	5.324	1.7595	0.778	6.686	2.0	0.396	
Photobacterium damselae	5.056	2.076	1.079	6.648	1.944	0.40700000000000003	
Photobacterium kishitanii	5.237	1.934	0.8995	6.7075	1.98	0.38799999999999996	
Photobacterium leiognathi	5.378	1.813	0.845	6.666	1.954	0.41100000000000003	
Photobacterium phosphoreum	5.104	1.9849999999999999	1.0965	6.6594999999999995	1.866	0.395	
Photorhabdus luminescens	4.838	2.364	1.431	6.733	1.653	0.425	
Phycisphaeraceae bacterium	3.9535	2.591	2.0060000000000002	6.4915	1.0	0.616	
Phycisphaerae bacterium	4.3865	2.3594999999999997	1.6764999999999999	6.4495000000000005	0.9535	0.613	
Phycisphaerales bacterium	4.220000000000001	2.419	1.7814999999999999	6.4325	1.0125	0.6085	
Piscirickettsia salmonis	4.14	2.556	1.771	6.482	3.159	0.396	
Planctomyces sp.	4.237	2.5995	2.002	6.689	1.0	0.594	
Planctomycetales bacterium	4.046	2.42	1.813	6.469	1.147	0.6459999999999999	
Plasmodium falciparum	5.26	3.0315000000000003	1.638	7.4495000000000005	1.2565	0.197	
Plesiomonas shigelloides	4.979	1.991	1.146	6.575	2.0	0.517	
Pluralibacter gergoviae	5.2684999999999995	1.9889999999999999	0.954	6.7435	2.0	0.5894999999999999	
Polaromonas sp.	4.061	2.579	1.959	6.537	1.301	0.597	
Porphyrobacter donghaensis	4.4575	2.526	1.6520000000000001	6.589	0.699	0.6675	
Porphyromonas gingivalis	4.6995000000000005	2.088	1.19	6.365	1.447	0.4845	
Porticoccaceae bacterium	4.485	1.898	1.23	6.27	-1.0	0.429	
Prevotella copri	4.887	2.041	1.176	6.553	1.991	0.449	
Prevotella intermedia	6.28	0.477	0.0	6.447	2.485	0.434	
Prevotella sp.	4.431	2.188	1.491	6.381	1.699	0.47700000000000004	
Prochlorococcus marinus	5.367	1.279	0.477	6.23	2.301	0.314	
Propionibacteriaceae bacterium	4.0329999999999995	2.386	1.7650000000000001	6.317500000000001	1.3315000000000001	0.617	
Propionibacterium sp.	4.0794999999999995	2.476	1.7850000000000001	6.4559999999999995	1.9935	0.6644999999999999	
Providencia alcalifaciens	5.403499999999999	1.6125	0.778	6.608499999999999	1.9264999999999999	0.418	
Providencia rettgeri	5.265499999999999	1.987	0.9515	6.665	1.602	0.40299999999999997	
Providencia stuartii	5.33	1.9085	0.845	6.652	1.7850000000000001	0.414	
Pseudoalteromonas luteoviolacea	5.1705000000000005	2.167	1.161	6.7755	2.0	0.42	
Pseudoalteromonas piscicida	5.0145	2.386	1.255	6.731	2.0949999999999998	0.434	
Pseudoalteromonas ruthenica	5.322	2.279	0.845	6.612	2.215	0.474	
Pseudoalteromonas sp.	4.543	2.111	1.531	6.577	-1.0	0.40399999999999997	
Pseudomonadales bacterium	4.3355	2.3440000000000003	1.602	6.497	0.794	0.6065	
Pseudomonas amygdali	4.96	2.393	1.342	6.795	2.0	0.581	
Pseudomonas asiatica	6.6129999999999995	0.7155	0.0	6.7805	1.6715	0.625	
Pseudomonas avellanae	4.4915	2.6159999999999997	1.7610000000000001	6.7735	2.152	0.588	
Pseudomonas chlororaphis	5.674	1.505	0.778	6.833	1.836	0.629	
Pseudomonas fluorescens	5.4755	1.8479999999999999	0.903	6.796	1.9865	0.602	
Pseudomonas fragi	5.618	1.5965	0.7384999999999999	6.7135	1.954	0.592	
Pseudomonas helleri	4.817	2.502	1.477	6.774	2.344	0.579	
Pseudomonas koreensis	5.49	1.833	0.845	6.785	2.0	0.602	
Pseudomonas lactis	5.4345	1.767	0.9285	6.8235	1.8615	0.599	
Pseudomonas lundensis	5.328	1.851	0.954	6.7	1.874	0.586	
Pseudomonas lurida	5.487	1.6844999999999999	0.778	6.784000000000001	1.763	0.609	
Pseudomonas mendocina	6.0649999999999995	1.1225	0.3495	6.727	1.955	0.624	
Pseudomonas monteilii	5.2225	2.1005000000000003	1.079	6.775	1.8279999999999998	0.618	
Pseudomonas nitroreducens	5.523	1.861	0.8115	6.8285	1.8775	0.6445000000000001	
Pseudomonas oleovorans	6.045999999999999	1.0394999999999999	0.3495	6.6845	2.089	0.623	
Pseudomonas protegens	5.91	1.279	0.477	6.841	1.808	0.633	
Pseudomonas proteolytica	5.164	1.929	1.146	6.803	1.826	0.604	
Pseudomonas psychrotolerans	5.111	2.114	1.146	6.722	2.053	0.649	
Pseudomonas putida	5.13	2.049	1.176	6.784	1.792	0.62	
Pseudomonas sp.	4.223	2.33	1.633	6.608	0.929	0.621	
Pseudomonas stutzeri	5.393	1.74	0.778	6.664	2.0	0.6335	
Pseudomonas syringae group genomosp. 3	5.1274999999999995	2.2785	1.19	6.8	1.863	0.586	
Pseudomonas veronii	5.207	2.061	1.146	6.853	2.053	0.607	
Puccinia striiformis	3.911	4.3695	3.3485	7.84	1.967	0.444	
Puccinia triticina	3.6525	4.699	3.738	7.978	1.9055	0.467	
Puniceicoccaceae bacterium	4.417	1.863	1.342	6.226	1.079	0.499	
Pyricularia oryzae	4.15	3.818	2.892	7.577	1.881	0.511	
Pyrinomonadaceae bacterium	3.848	2.7975000000000003	2.1925	6.5760000000000005	1.1475	0.551	
Ralstonia pickettii	5.426	1.6175000000000002	0.903	6.735	2.293	0.637	
Ralstonia solanacearum	4.9175	2.221	1.3085	6.738	2.1550000000000002	0.667	
Raoultella ornithinolytica	5.4145	1.8864999999999998	0.903	6.754	2.0775	0.556	
Raoultella planticola	5.6225000000000005	1.617	0.7384999999999999	6.763	2.0	0.556	
Raoultella terrigena	5.531	1.898	0.845	6.753	1.851	0.578	
Rhizobium laguerreae	5.414	1.799	0.954	6.854	1.477	0.608	
Rhodanobacter sp.	4.745	2.134	1.255	6.548	-1.0	0.65	
Rhodobacterales bacterium	4.13	2.19	1.672	6.398	0.875	0.602	
Rhodobiaceae bacterium	4.604	1.653	1.079	6.165	-1.0	0.358	
Rhodococcus erythropolis	5.351	2.083	0.954	6.823	1.924	0.624	
Rhodococcus rhodochrous	4.977	2.238	1.322	6.785	1.924	0.683	
Rhodocyclaceae bacterium	4.386	2.2595	1.545	6.479	1.6945000000000001	0.6285	
Rhodoferax sp.	4.1495	2.466	1.7850000000000001	6.505000000000001	1.3115	0.606	
Rhodopirellula sp.	4.555	2.283	1.643	6.689	-1.0	0.518	
Rhodospirillales bacterium	3.872	2.517	1.964	6.49	1.0	0.617	
Rhodotorula mucilaginosa	5.412	2.495	1.38	7.303	1.8695	0.605	
Rickettsiales bacterium	4.3335	1.8025	1.29	6.093	-1.0	0.305	
Riemerella anatipestifer	5.343	1.5235	0.477	6.3315	2.663	0.35	
Rikenellaceae bacterium	4.424	2.13	1.38	6.329	1.279	0.511	
Rodentibacter pneumotropicus	4.632	2.072	1.279	6.369	1.681	0.4	
Roseibacillus sp.	4.705	1.978	1.415	6.565	-1.0	0.5489999999999999	
Roseobacter sp.	4.701	1.939	1.296	6.5365	-1.0	0.6	
Roseovarius sp.	4.944	2.058	1.0775000000000001	6.468	0.018000000000000016	0.632	
Rothia kristinae	4.362	2.243	1.491	6.355	2.199	0.718	
Rubrobacter sp.	3.854	2.605	2.124	6.45	1.601	0.634	
Ruegeria arenilitoris	5.7905	1.161	0.301	6.5815	2.301	0.614	
Ruegeria atlantica	5.496499999999999	1.573	0.6505	6.6434999999999995	2.301	0.5705	
Ruminiclostridium sp.	4.523	2.0815	1.3685	6.412	1.3135	0.4495	
Ruminococcus bromii	4.8415	1.869	1.041	6.327999999999999	1.8165	0.41	
Ruminococcus flavefaciens	4.23	2.325	1.7029999999999998	6.42	1.477	0.467	
Ruminococcus sp.	4.367	2.173	1.4695	6.3294999999999995	1.1385	0.442	
SAR116 cluster bacterium	4.407	1.892	1.342	6.167	-1.0	0.5329999999999999	
SAR202 cluster bacterium	4.312	2.124	1.431	6.205	2.0	0.435	
SAR324 cluster bacterium	3.818	2.474	1.903	6.371	0.0	0.42200000000000004	
SAR86 cluster bacterium	4.353	1.5855000000000001	1.0	5.932499999999999	1.0	0.34199999999999997	
Saccharomyces cerevisiae	5.672	2.097	1.0	7.068	2.0	0.382	
Saccharomyces pastorianus	4.9384999999999994	2.942	1.7734999999999999	7.3445	1.748	0.3915	
Salmonella bongori	5.282	1.763	0.903	6.667	1.954	0.513	
Saprospiraceae bacterium	3.98	2.667	2.064	6.497	1.014	0.41	
Saprospirales bacterium	4.2755	2.3795	1.6644999999999999	6.4895	1.1320000000000001	0.4335	
Schizosaccharomyces pombe	6.461	1.146	0.301	7.109	2.033	0.36	
Serratia fonticola	5.2995	1.822	0.977	6.7565	2.0	0.536	
Serratia symbiotica	4.864	1.766	0.9954999999999999	6.404999999999999	2.037	0.5165	
Shewanella algae	4.983	2.033	1.204	6.687	2.353	0.53	
Sinorhizobium fredii	4.591	2.5484999999999998	1.7075	6.834	2.1845	0.622	
Sinorhizobium medicae	5.036	2.19	1.255	6.822	0.941	0.612	
Snodgrassella alvi	4.901	1.875	1.0	6.3895	1.4545	0.413	
Solemya velum gill symbiont	4.924	1.813	1.0	6.404	1.82	0.509	
Solirubrobacterales bacterium	3.616	2.611	2.1414999999999997	6.329000000000001	1.0045	0.7095	
Sphingobacteriia bacterium	4.24	2.4755000000000003	1.7705	6.369	0.8375	0.392	
Sphingobium sp.	4.775	2.097	1.23	6.492	-1.0	0.634	
Sphingomonadaceae bacterium	4.1185	2.417	1.732	6.393	0.542	0.632	
Sphingomonadales bacterium	3.723	2.4905	1.929	6.3505	1.0	0.6519999999999999	
Sphingomonas koreensis	5.391	1.69	0.845	6.684	1.914	0.66	
Sphingomonas sp.	4.3415	2.281	1.5575	6.3835	0.9895	0.652	
Spirochaetaceae bacterium	3.9925	2.5655	1.9369999999999998	6.492	1.0365	0.593	
Spirochaetales bacterium	3.966	2.558	1.886	6.422	1.307	0.557	
Spirochaetes bacterium	3.9635	2.577	1.956	6.3905	1.258	0.4275	
Spirochaetia bacterium	3.994	2.462	1.74	6.386	1.079	0.449	
Spraguea lophii	3.7155	3.5815	2.4925	6.8835	2.0084999999999997	0.23	
Staphylococcus agnetis	4.925	1.863	1.0	6.389	1.792	0.35700000000000004	
Staphylococcus argenteus	5.833	1.3115	0.301	6.445	2.0	0.32299999999999995	
Staphylococcus arlettae	4.686	2.199	1.204	6.416	1.613	0.33399999999999996	
Staphylococcus capitis	5.197	1.898	0.699	6.395	1.892	0.32899999999999996	
Staphylococcus chromogenes	4.926	1.857	0.954	6.364	1.653	0.36700000000000005	
Staphylococcus cohnii	4.61	2.121	1.255	6.422	1.643	0.325	
Staphylococcus delphini	5.269	1.633	0.7384999999999999	6.4085	2.1155	0.38299999999999995	
Staphylococcus equorum	4.696	2.1654999999999998	1.2425	6.4415	1.6480000000000001	0.33	
Staphylococcus felis	4.484	2.26	1.477	6.379	1.949	0.349	
Staphylococcus gallinarum	4.4575	2.41	1.4834999999999998	6.467499999999999	1.58	0.331	
Staphylococcus hominis	5.0535	1.7029999999999998	0.778	6.351	1.9415	0.314	
Staphylococcus pasteuri	4.688	2.0309999999999997	1.217	6.404	1.6505	0.315	
Staphylococcus saprophyticus	5.781	1.477	0.301	6.42	2.0	0.33	
Staphylococcus schleiferi	5.169	1.748	0.845	6.392	2.267	0.359	
Staphylococcus sciuri	4.643	2.2305	1.29	6.442	1.653	0.325	
Staphylococcus simulans	4.933	1.973	1.041	6.422	1.568	0.36	
Staphylococcus succinus	4.509	2.326	1.447	6.442	1.602	0.32899999999999996	
Staphylococcus warneri	4.851	2.0	1.041	6.407	1.643	0.326	
Staphylococcus xylosus	4.6665	2.1715	1.29	6.4535	1.6179999999999999	0.327	
Streptococcus anginosus	5.0665	1.6280000000000001	0.778	6.292	1.791	0.38749999999999996	
Streptococcus canis	5.343500000000001	1.4405000000000001	0.5395	6.337999999999999	2.0	0.396	
Streptococcus cristatus	5.1675	1.6764999999999999	0.6505	6.3125	1.854	0.4245	
Streptococcus dysgalactiae	4.871	1.82	1.0	6.333	1.943	0.39299999999999996	
Streptococcus equinus	5.8045	1.114	0.301	6.278499999999999	2.4604999999999997	0.3745	
Streptococcus gordonii	5.375	1.439	0.602	6.341	2.0	0.405	
Streptococcus halichoeri	4.896	1.6575	0.903	6.301	2.025	0.415	
Streptococcus iniae	4.669	1.934	1.146	6.3	2.1	0.365	
Streptococcus intermedius	5.466	1.255	0.477	6.288	1.462	0.376	
Streptococcus oralis	5.414	1.447	0.301	6.2915	1.7035	0.41100000000000003	
Streptococcus parasanguinis	5.407	1.342	0.477	6.325	2.0	0.42	
Streptococcus parauberis	5.4975000000000005	1.161	0.477	6.3095	1.7570000000000001	0.355	
Streptococcus pseudopneumoniae	4.668	2.064	1.176	6.338	2.0	0.39799999999999996	
Streptococcus salivarius	5.175	1.672	0.778	6.337	1.93	0.39799999999999996	
Streptococcus sanguinis	5.5	1.439	0.602	6.374	1.8355000000000001	0.431	
Streptococcus sobrinus	4.03	2.555	1.785	6.322	1.779	0.435	
Streptococcus thermophilus	4.815	1.813	0.954	6.253	1.992	0.389	
Streptococcus uberis	5.3420000000000005	1.4620000000000002	0.477	6.2844999999999995	2.2855	0.364	
Streptomyces albidoflavus	5.426	1.82	0.954	6.849	2.176	0.7340000000000001	
Streptomyces griseus	5.3605	2.0564999999999998	1.041	6.905	2.3	0.726	
Streptomyces lunaelactis	4.473	2.713	1.929	6.901	1.519	0.698	
Streptomyces rimosus	5.05	2.33	1.398	6.978	2.146	0.7190000000000001	
Streptomyces scabiei	4.098000000000001	3.1310000000000002	2.3095	6.993	2.0	0.7120000000000001	
Streptomyces sp.	3.8600000000000003	3.05	2.488	6.923	1.6885	0.711	
Subdoligranulum sp.	4.306	2.238	1.613	6.377	1.544	0.588	
Sulfolobus acidocaldarius	5.672499999999999	0.9285	0.301	6.346500000000001	1.9905	0.36700000000000005	
Sulfurimonas sp.	4.431	1.924	1.204	6.282	0.0	0.34299999999999997	
Sulfurovum sp.	3.932	2.307	1.785	6.199	0.0	0.363	
Sutterella wadsworthensis	4.9175	1.842	1.041	6.458	1.892	0.552	
Synechococcus lacustris	5.084	1.568	0.845	6.3870000000000005	0.0	0.619	
Synergistaceae bacterium	3.908	2.4145	1.8345	6.239	2.5225	0.5395000000000001	
Syntrophaceae bacterium	4.382	2.4185	1.763	6.536	1.5405000000000002	0.4965	
Tenacibaculum maritimum	5.065	1.968	1.041	6.524	1.929	0.318	
Tetragenococcus halophilus	4.5649999999999995	2.402	1.322	6.388	2.4395	0.35700000000000004	
Thaumarchaeota archaeon	4.243	1.994	1.3215	6.0405	1.176	0.357	
Thermococci archaeon	3.7335000000000003	2.4160000000000004	1.9129999999999998	6.1325	1.5505	0.4115	
Thermofilum sp.	3.8055000000000003	2.293	1.7075	6.015	1.105	0.5475	
Thermoflexales bacterium	3.908	2.74	2.146	6.525	1.078	0.617	
Thermoleophilaceae bacterium	3.716	2.584	2.045	6.259	1.28	0.706	
Thermoleophilia bacterium	4.101	2.237	1.638	6.2565	1.052	0.6819999999999999	
Thermoplasmata archaeon	3.7605000000000004	2.335	1.8025	6.143	1.4285	0.4325	
Thermoplasmatales archaeon	3.5949999999999998	2.3259999999999996	1.851	5.946	0.951	0.41000000000000003	
Thermoprotei archaeon	3.779	2.3890000000000002	1.799	6.1445	1.5895000000000001	0.42500000000000004	
Thermus scotoductus	4.091	2.5895	1.748	6.365	1.748	0.6509999999999999	
Thioalkalivibrio sp.	3.913	2.512	1.919	6.332	1.514	0.6559999999999999	
Thiotrichales bacterium	4.01	2.431	1.771	6.222	0.961	0.483	
Tissierellia bacterium	4.208	2.32	1.58	6.285	2.413	0.348	
Toxoplasma gondii	4.551	3.794	2.675	7.797	1.499	0.524	
Treponema sp.	4.352	2.255	1.544	6.342	1.732	0.44	
Triticum aestivum	3.066	5.446	4.268	8.641	0.763	0.457	
Tropheryma whipplei	4.934	2.146	0.602	5.9455	-1.0	0.46399999999999997	
Trueperaceae bacterium	3.8305	2.6254999999999997	2.0469999999999997	6.438	1.4775	0.7065	
Trypanosoma cruzi	4.486000000000001	3.4325	2.3655	7.589	1.7955	0.512	
Ureaplasma urealyticum	5.477	1.079	0.301	5.934	-1.0	0.259	
Variovorax paradoxus	4.76	2.511	1.716	6.928	1.462	0.6890000000000001	
Variovorax sp.	4.0175	2.741	1.9285	6.6025	1.0775000000000001	0.6705000000000001	
Veillonellaceae bacterium	4.661	2.0725	1.2525	6.3934999999999995	1.3719999999999999	0.455	
Verrucomicrobia subdivision 3 bacterium	4.2165	2.3360000000000003	1.6475	6.5305	1.1844999999999999	0.605	
Verrucomicrobiaceae bacterium	4.211	2.288	1.756	6.5	1.0	0.562	
Vibrio aestuarianus	4.982	2.061	1.204	6.622	1.699	0.42700000000000005	
Vibrio alginolyticus	5.4345	1.9	0.778	6.715	2.0	0.446	
Vibrio campbellii	4.340999999999999	2.702	1.892	6.724	1.699	0.455	
Vibrio coralliilyticus	5.3825	1.806	0.845	6.7445	1.699	0.457	
Vibrio crassostreae	5.361000000000001	1.877	0.845	6.7125	2.414	0.44299999999999995	
Vibrio cyclitrophicus	5.4094999999999995	1.8904999999999998	0.845	6.705	1.699	0.436	
Vibrio diabolicus	5.5280000000000005	1.8285	0.7384999999999999	6.7085	1.477	0.44799999999999995	
Vibrio fluvialis	5.373	1.792	0.903	6.677	2.0	0.5	
Vibrio harveyi	5.07	2.049	1.146	6.768	1.699	0.449	
Vibrio mediterranei	5.212	1.949	1.041	6.753	1.079	0.441	
Vibrio metoecus	5.2965	1.8969999999999998	0.8115	6.6005	2.431	0.469	
Vibrio mimicus	5.461	1.869	0.778	6.638	1.477	0.46299999999999997	
Vibrio nigripulchritudo	4.926	2.146	1.322	6.799	-1.0	0.45799999999999996	
Vibrio splendidus	5.246499999999999	1.914	1.041	6.731999999999999	2.0860000000000003	0.442	
Vibrio tasmaniensis	5.0645	2.0955	1.145	6.7215	1.924	0.439	
Wallemia ichthyophaga	5.234	2.36	1.322	6.98	2.453	0.45399999999999996	
Wallemia mellicola	5.128	2.362	1.322	6.989	2.483	0.4	
Weissella cibaria	5.608	1.4645	0.4515	6.391	2.4005	0.449	
Weissella confusa	5.165	1.663	0.778	6.354	1.633	0.447	
Weissella paramesenteroides	5.282500000000001	1.439	0.602	6.299	2.0465	0.379	
Wenzhouxiangella sp.	3.979	2.515	1.875	6.392	1.629	0.623	
Winogradskyella sp.	4.221	2.279	1.57	6.3975	1.04	0.34099999999999997	
Woeseiaceae bacterium	4.226	2.164	1.519	6.407	1.273	0.575	
Wohlfahrtiimonas chitiniclastica	5.703	0.903	0.301	6.328	2.413	0.43700000000000006	
Wolbachia pipientis	4.14	2.152	1.362	6.065	1.884	0.3495	
Xanthomonadaceae bacterium	4.099	2.405	1.732	6.476	1.756	0.6559999999999999	
Xanthomonadales bacterium	4.1635	2.417	1.8265	6.462	0.99	0.628	
Xanthomonas arboricola	5.312	1.851	0.954	6.695	2.0	0.6559999999999999	
Xanthomonas campestris	5.161	1.964	1.041	6.7	2.158	0.6509999999999999	
Xanthomonas euvesicatoria	5.164	2.173	1.146	6.719	1.839	0.6459999999999999	
Xanthomonas fragariae	4.253	2.5975	1.869	6.62	2.027	0.623	
Xanthomonas hortorum	5.1	2.093	1.114	6.712	2.556	0.637	
Xanthomonas perforans	5.072	2.004	1.146	6.718	1.659	0.647	
Xanthomonas translucens	4.268	2.48	1.826	6.643	2.0	0.684	
Xanthomonas vasicola	5.104	2.114	1.114	6.684	1.973	0.633	
Xanthomonas vesicatoria	5.226	1.884	1.0499999999999998	6.7235	1.807	0.6409999999999999	
Xylella fastidiosa	5.0184999999999995	2.0875000000000004	0.845	6.404	2.8135	0.518	
Yersinia bercovieri	4.7295	2.254	1.3975	6.6285	2.0145	0.494	
Yersinia frederiksenii	5.1295	2.0225	1.0775000000000001	6.6845	2.0605	0.47600000000000003	
Yersinia kristensenii	5.105	1.9705	1.06	6.6505	2.0	0.475	
Yersinia mollaretii	5.21	1.785	0.9285	6.661	2.31	0.491	
Yersinia ruckeri	5.224	1.892	0.903	6.575	2.114	0.47600000000000003	
Zetaproteobacteria bacterium	4.2989999999999995	2.0595	1.447	6.266	0.903	0.5609999999999999	
Zymomonas mobilis	6.2655	0.699	0.0	6.316000000000001	2.709	0.461	
[Candida] auris	4.476	2.923	2.104	7.097	1.968	0.449	
[Eubacterium] rectale	5.024	2.079	1.041	6.469	2.0	0.418	
[Ruminococcus] faecis	4.9465	1.7755	1.091	6.5065	1.895	0.4075	
[Ruminococcus] gnavus	4.932	2.143	1.114	6.563	2.0	0.42700000000000005	
archaeon	3.9365	2.1	1.4545	5.9879999999999995	0.6085	0.40299999999999997	
candidate division KSB1 bacterium	3.897	2.693	2.13	6.509	1.433	0.436	
candidate division WOR-3 bacterium	4.119	2.272	1.653	6.291	1.011	0.389	
candidate division WWE3 bacterium	4.6265	1.6244999999999998	0.8699999999999999	5.909	1.278	0.419	
candidate division Zixibacteria bacterium	3.8325	2.6115	2.0825	6.394	1.1629999999999998	0.4875	
gamma proteobacterium symbiont of Ctena orbiculata	4.532	2.286	1.591	6.609	1.255	0.5579999999999999	
